number,surah,index,riwayah,ayah,canonical_rasm_rasm_uthmani,riwayah_rasm_uthmani,same_rasm,status
76867,96,17,warsh,5,ٱلۡإِنسَٰنَ,ࡰ۬لِانسَٰنَ,1,diacritic_variant
76867,96,17,qalun,5,ٱلۡإِنسَٰنَ,ࡰ۬لْإِنسَٰنَ,1,diacritic_variant
76867,96,17,duri,5,ٱلۡإِنسَٰنَ,اَ۬لۡإِنسَٰنَ,1,diacritic_variant
76867,96,17,susi,5,ٱلۡإِنسَٰنَ,ࡱ۬لۡإِنسَٰنَ,1,diacritic_variant
76869,96,19,warsh,5,لَمۡ,لَمْ,1,identical
76869,96,19,qalun,5,لَمۡ,لَمْ,1,identical
76870,96,20,warsh,5,يَعۡلَمۡ,يَعْلَمْ,1,identical
76870,96,20,qalun,5,يَعۡلَمۡ,يَعْلَمْ,1,identical
76871,96,21,qalun,6,كَلَّآ,كَلَّا,1,diacritic_variant
76871,96,21,susi,6,كَلَّآ,كَلَّا,1,diacritic_variant
76871,96,21,bazzi,6,كَلَّآ,كَلَّا,1,diacritic_variant
