number,surah,index,ayah_hafs,status,rasm,missing_in,written_joined_by,resegmented_in,distinct_forms,forms
49681,28,89,8,alif_variant,وهمں,,,,2,"وَهَٰمَٰنَ [hafs,shubah,bazzi,duri,susi]  ||  وَهَامَٰنَ [qalun,warsh]"
49709,28,117,10,alif_variant,كادٮ,,,,2,"كَادَتۡ [hafs,shubah,bazzi,duri,susi]  ||  كَٰدَتْ [qalun,warsh]"
49783,28,191,15,alif_variant,ٮڡٮٮلاں,,,,2,"يَقۡتَتِلَانِ [hafs,shubah,bazzi,duri,susi]  ||  يَقْتَتِلَٰنِ [qalun,warsh]"
49934,28,342,23,alif_variant,ٮدوداں,,,,2,"تَذُودَانِ [hafs,shubah,bazzi,duri,susi]  ||  تَذُودَٰنِ [qalun,warsh]"
50122,28,530,32,alif_variant,ٮرهٮاں,,,,2,"بُرۡهَٰنَانِ [hafs,shubah,bazzi,duri,susi]  ||  بُرْهَٰنَٰنِ [qalun,warsh]"
50187,28,595,37,rasm_variant,وڡال,,,,2,"وَقَالَ [hafs,shubah,qalun,warsh,duri,susi]  ||  قَالَ [bazzi]"
50217,28,625,38,alif_variant,ٮهمں,,,,2,"يَٰهَٰمَٰنُ [hafs,shubah,bazzi,duri,susi]  ||  يَٰهَامَٰنُ [qalun,warsh]"
50378,28,786,48,rasm_variant,سحراں,,,,3,"سِحۡرَانِ [hafs,shubah]  ||  سَٰحِرَانِ [bazzi,duri,susi]  ||  سَٰحِرَٰنِ [qalun,warsh]"
50761,28,1169,76,alif_variant,ڡروں,,,,2,"قَٰرُونَ [hafs,shubah,bazzi,duri,susi]  ||  قَارُونَ [qalun,warsh]"
50858,28,1266,79,alif_variant,ڡروں,,,,2,"قَٰرُونُ [hafs,shubah,bazzi,duri,susi]  ||  قَارُونُ [qalun,warsh]"
51094,29,72,8,alif_variant,حهداك,,,,2,"جَٰهَدَاكَ [hafs,shubah,bazzi,duri,susi]  ||  جَٰهَدَٰكَ [qalun,warsh]"
51560,29,538,39,alif_variant,وڡروں,,,,2,"وَقَٰرُونَ [hafs,shubah,bazzi,duri,susi]  ||  وَقَارُونَ [qalun,warsh]"
51562,29,540,39,alif_variant,وهمں,,,,2,"وَهَٰمَٰنَ [hafs,shubah,bazzi,duri,susi]  ||  وَهَامَٰنَ [qalun,warsh]"
52070,30,72,8,rasm_variant,ٮلڡاى,,,,2,"بِلِقَآيِٕ [hafs,shubah,bazzi,duri,susi]  ||  بِلِقَآءِ [qalun,warsh]"
52159,30,161,16,rasm_variant,ولڡاى,,,,2,"وَلِقَآيِٕ [hafs,shubah,bazzi,duri,susi]  ||  وَلِقَآءِ [qalun,warsh]"
52982,31,167,15,alif_variant,حهداك,,,,2,"جَٰهَدَاكَ [hafs,shubah,bazzi,duri,susi]  ||  جَٰهَدَٰكَ [qalun,warsh]"
53654,32,293,23,alif_variant,اسرٮل,,,,2,"إِسۡرَٰٓءِيلَ [hafs,shubah,bazzi,duri,susi]  ||  إِسْرَآءِيلَ [qalun,warsh]"
53776,33,43,4,rasm_variant,الى,,,,6,"ٱلَِّٰٓٔي [hafs,shubah]  ||  ٱلَّٰٓيۡ [bazzi]  ||  ࡲ۬لَّٰٓئِے [qalun]  ||  ࡲ۬لٜےْ [warsh]  ||  اُ۬لَّٰٓيۡ [duri]  ||  ࡲ۬لَّٰٓيۡ [susi]"
55289,34,269,15,alif_variant,حٮٮاں,,,,2,"جَنَّتَانِ [hafs,shubah,bazzi,duri,susi]  ||  جَنَّتَٰنِ [qalun,warsh]"
55800,34,780,46,alif_variant,ٮصاحٮكم,,,,3,"بِصَاحِبِكُم [hafs,shubah,duri,susi]  ||  بِصَاحِبِكُمُۥ [bazzi]  ||  بِصَٰحِبِكُم [qalun,warsh]"
